NOME_NEGOCIO,SETOR_ATIVIDADE,BAIRRO,CODIGO_CNAE,CIDADE
NOME NÃO INFORMADO,"CABELEIREIROS, MANICURE E PEDICURE",REZENDE,9602501,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,CHAPADA,4781400,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"RECUPERAÇÃO DE MATERIAIS METÁLICOS, EXCETO ALUMÍNIO",CARIJOS,3831999,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,SERVIÇOS DE PINTURA DE EDIFÍCIOS EM GERAL,ANGELICA,4330404,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,EDIÇÃO DE LIVROS,SANTO ANTONIO,5811500,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"CABELEIREIROS, MANICURE E PEDICURE",MANOEL CORREA,9602501,CONSELHEIRO LAFAIETE
MAPLE BEAR LAFAIETE,ENSINO FUNDAMENTAL,OURO VERDE,8513900,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"CABELEIREIROS, MANICURE E PEDICURE",QUELUZ,9602501,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,MANOEL CORREA,4781400,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,OUTRAS ATIVIDADES AUXILIARES DOS TRANSPORTES TERRESTRES NÃO ESPECIFICADAS ANTERIORMENTE,SATELITE,5229099,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,CACHOEIRA,4781400,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, MUNICIPAL.",SATELITE,4930201,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,ALBERTINA,9602502,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMÉRCIO VAREJISTA DE ARTIGOS ESPORTIVOS,SAO SEBASTIAO,4763602,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"SERVIÇOS DE USINAGEM, TORNEARIA E SOLDA",SANTA MATILDE,2539001,CONSELHEIRO LAFAIETE
EMS SERVICO INTEGRADO DE NEUROLOGIA,ATIVIDADE MÉDICA AMBULATORIAL RESTRITA A CONSULTAS,CAMPO ALEGRE,8630503,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"CABELEIREIROS, MANICURE E PEDICURE",CENTRO,9602501,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS ELETROELETRÔNICOS DE USO PESSOAL E DOMÉSTICO,PAULO VI,9521500,CONSELHEIRO LAFAIETE
WANDER DA SILVA MOREIRA SERVICOS MEDICOS,ATIVIDADE MÉDICA AMBULATORIAL RESTRITA A CONSULTAS,SAO SEBASTIAO,8630503,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,OBRAS DE ALVENARIA,GIGANTE,4399103,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO,SAGRADO CORACAO DE JESUS,4755502,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"ATIVIDADES DE PÓS-PRODUÇÃO CINEMATOGRÁFICA, DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO NÃO ESPECIFICADAS ANTERIORMENTE",ANGELICA,5912099,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,ATIVIDADES DE FORNECIMENTO DE INFRA-ESTRUTURA DE APOIO E ASSISTÊNCIA A PACIENTE NO DOMICÍLIO,SANTA LUZIA,8712300,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,OBRAS DE ALVENARIA,SANTO ANTONIO,4399103,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COLETA DE RESÍDUOS NÃO-PERIGOSOS,QUELUZ,3811400,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE MADEIRA,SAO SEBASTIAO,3101200,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA,SANTA MATILDE,4321500,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL",ANGELICA,4930202,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,SERVIÇOS DOMÉSTICOS,REZENDE,9700500,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,ALBERTINA,9602502,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,OUTRAS ATIVIDADES DE SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS NÃO ESPECIFICADAS ANTERIORMENTE,MORADA DO SOL,8299799,CONSELHEIRO LAFAIETE
VR SOLUCAO ENERGETICA FOTOVOLTAICA,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA,BELLAVINHA,4321500,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,SAO JOAO,8599699,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"CABELEIREIROS, MANICURE E PEDICURE",SION,9602501,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,SERVIÇOS DE PINTURA DE EDIFÍCIOS EM GERAL,PROGRESSO,4330404,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMÉRCIO VAREJISTA DE BEBIDAS,SANTA MATILDE,4723700,CONSELHEIRO LAFAIETE
HOELZLE TERAPIA OCUPACIONAL,ATIVIDADES DE TERAPIA OCUPACIONAL,SAGRADO CORACAO DE JESUS,8650005,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS ELETROELETRÔNICOS DE USO PESSOAL E DOMÉSTICO,CACHOEIRA,9521500,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,PRODUÇÃO MUSICAL,ANGELICA,9001902,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS",CENTRO,4771701,CONSELHEIRO LAFAIETE
ENGEVER ENGENHARIA,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA USO GERAL NÃO ESPECIFICADOS ANTERIORMENTE,SAO BENEDITO,3314710,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,FABRICAÇÃO DE ALIMENTOS E PRATOS PRONTOS,CARIJOS,1096100,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"CABELEIREIROS, MANICURE E PEDICURE",SANTA MARIA,9602501,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE COMUNICAÇÃO,CENTRO,9512600,CONSELHEIRO LAFAIETE
JGN TRANSPORTES E FRETAMENTO,"TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL",SAO JOAO,4929902,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE MADEIRA,ROCHEDO,3101200,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,RESTAURANTES E SIMILARES,SAO JOAO,5611201,CONSELHEIRO LAFAIETE
MH RESTAURANTE,RESTAURANTES E SIMILARES,CENTRO,5611201,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,SERVIÇOS DOMÉSTICOS,SAO JOSE,9700500,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,SERVIÇOS DOMÉSTICOS,MANOEL DE PAULA,9700500,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,OBRAS DE ALVENARIA,SAO DIMAS,4399103,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"CABELEIREIROS, MANICURE E PEDICURE",SAO JOAO,9602501,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",BUARQUE DE MACEDO,5611203,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,OUTRAS ATIVIDADES DE SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS NÃO ESPECIFICADAS ANTERIORMENTE,SANTA MATILDE,8299799,CONSELHEIRO LAFAIETE
LUANA ALMEIDA PSICOLOGIA,ATIVIDADES DE PSICOLOGIA E PSICANÁLISE,MORRO DA MINA,8650003,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMÉRCIO VAREJISTA DE PRODUTOS SANEANTES DOMISSANITÁRIOS,CARIJOS,4789005,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,PREPARAÇÃO DE DOCUMENTOS E SERVIÇOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NÃO ESPECIFICADOS ANTERIORMENTE,MUSEU,8219999,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,HOLDINGS DE INSTITUIÇÕES NÃO-FINANCEIRAS,CAMPO ALEGRE,6462000,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS",SANTO AGOSTINHO,8230001,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO,SAO JOAO,4753900,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,SERVIÇOS DOMÉSTICOS,LOURDES,9700500,CONSELHEIRO LAFAIETE
ZOOM MULTAS,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,CAMPO ALEGRE,8211300,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,ALUGUEL DE MÁQUINAS E EQUIPAMENTOS PARA ESCRITÓRIOS,CENTRO,7733100,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,PREPARAÇÃO DE DOCUMENTOS E SERVIÇOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NÃO ESPECIFICADOS ANTERIORMENTE,SAO SEBASTIAO,8219999,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"ATIVIDADES DE PÓS-PRODUÇÃO CINEMATOGRÁFICA, DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO NÃO ESPECIFICADAS ANTERIORMENTE",CENTRO,5912099,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS EM GERAL OU ESPECIALIZADO EM PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE,CENTRO,4729699,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"CABELEIREIROS, MANICURE E PEDICURE",CACHOEIRA,9602501,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,RESTAURANTES E SIMILARES,CACHOEIRA,5611201,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS USADOS PARA VEÍCULOS AUTOMOTORES,SAO JOAO,4530704,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,COPACABANA,1091101,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO,CARIJOS,4742300,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,PROMOÇÃO DE VENDAS,REAL DE QUELUZ,7319002,CONSELHEIRO LAFAIETE
ABLH DESPACHANTE LTDA,OUTRAS ATIVIDADES DE SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS NÃO ESPECIFICADAS ANTERIORMENTE,ANGELICA,8299799,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,OUTRAS ATIVIDADES AUXILIARES DOS TRANSPORTES TERRESTRES NÃO ESPECIFICADAS ANTERIORMENTE,CACHOEIRA,5229099,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICAÇÃO,SAO SEBASTIAO,4752100,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",SAO JUDAS TADEU,4712100,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"CABELEIREIROS, MANICURE E PEDICURE",ALMEIDAS,9602501,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMÉRCIO VAREJISTA DE ARTIGOS DE COLCHOARIA,SAO DIMAS,4754702,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR,ROCHEDO,5620104,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,PRODUÇÃO TEATRAL,ALBINOPOLIS,9001901,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, MUNICIPAL.",SAGRADO CORACAO DE JESUS,4930201,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,CENTRO,4789099,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, MUNICIPAL.",ALVORADA,4930201,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,BELLAVINHA,8599699,CONSELHEIRO LAFAIETE
CRYSTHAN FORGE,OUTRAS OBRAS DE ENGENHARIA CIVIL NÃO ESPECIFICADAS ANTERIORMENTE,SANTA MATILDE,4299599,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA,ZONA RURAL,3511502,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMÉRCIO VAREJISTA DE CALÇADOS,REZENDE,4782201,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"CABELEIREIROS, MANICURE E PEDICURE",SAO DIMAS,9602501,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL",REZENDE,4772500,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, MUNICIPAL.",AREAL,4930201,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,BUARQUE DE MACEDO,4520001,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS, COM ENTRETENIMENTO",SANTA MARIA,5611205,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB REGIME DE FRETAMENTO, MUNICIPAL",CHAPADA,4929901,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,SANTA MATILDE,4520001,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA,LIMA DIAS,4751201,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,OBRAS DE ALVENARIA,NOSSA SENHORA DA GUIA,4399103,CONSELHEIRO LAFAIETE
PALMITAL EMPREENDIMENTOS,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,CENTRO,4110700,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"FABRICAÇÃO DE PRODUTOS DE PASTAS CELULÓSICAS, PAPEL, CARTOLINA, PAPEL-CARTÃO E PAPELÃO ONDULADO NÃO ESPECIFICADOS ANTERIORMENTE",SANTA CRUZ,1749400,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,PROMOÇÃO DE VENDAS,CAMPO ALEGRE,7319002,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, MUNICIPAL.",FONTE GRANDE,4930201,CONSELHEIRO LAFAIETE
CASA DE CARNE LOPES,COMÉRCIO VAREJISTA DE CARNES - AÇOUGUES,ROCHEDO,4722901,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,ENSINO DE ARTE E CULTURA NÃO ESPECIFICADO ANTERIORMENTE,ANGELICA,8592999,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,PREPARAÇÃO DE DOCUMENTOS E SERVIÇOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NÃO ESPECIFICADOS ANTERIORMENTE,SIDERURGICO,8219999,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,REPARAÇÃO E MANUTENÇÃO DE COMPUTADORES E DE EQUIPAMENTOS PERIFÉRICOS,SAO MARCOS,9511800,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,SERVIÇOS AMBULANTES DE ALIMENTAÇÃO,CHAPADA,5612100,CONSELHEIRO LAFAIETE
DUTRA PERFORMANCE - PESSOAS E PROCESSOS,"ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, EXCETO CONSULTORIA TÉCNICA ESPECÍFICA",SANTA MATILDE,7020400,CONSELHEIRO LAFAIETE
FW SERVICOS MEDICOS,ATIVIDADES DE ATENÇÃO AMBULATORIAL NÃO ESPECIFICADAS ANTERIORMENTE,ANGELICA,8630599,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"CABELEIREIROS, MANICURE E PEDICURE",SAGRADO CORACAO DE JESUS,9602501,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR,AREAL,5620104,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,SAGRADO CORACAO DE JESUS,4781400,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"CABELEIREIROS, MANICURE E PEDICURE",CENTRO,9602501,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"SERVIÇOS DE LAVAGEM, LUBRIFICAÇÃO E POLIMENTO DE VEÍCULOS AUTOMOTORES",SANTA CRUZ,4520005,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,CENTRO,9602502,CONSELHEIRO LAFAIETE
ROBSON ANTONIO RESENDE,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL",SAO DIMAS,4930202,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"FABRICAÇÃO DE ARTIGOS DE SERRALHERIA, EXCETO ESQUADRIAS",SAO DIMAS,2542000,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,CENTRO,9602502,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,ATIVIDADES DE PSICOLOGIA E PSICANÁLISE,AREA RURAL DE CONSELHEIRO LAFAIETE,8650003,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"CABELEIREIROS, MANICURE E PEDICURE",CENTRO,9602501,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,CHAPADA,4781400,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,SAO JOAO,8599699,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"CABELEIREIROS, MANICURE E PEDICURE",EXPEDICIONARIOS,9602501,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,ATIVIDADES DE ORGANIZAÇÕES POLÍTICAS,CARIJOS,9492800,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,OBRAS DE ACABAMENTO EM GESSO E ESTUQUE,ROSARIO,4330403,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS",MUSEU,8230001,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS",SANTA TEREZINHA,4322301,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA,ARCADIA,4321500,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS",CACHOEIRA,8230001,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",PAULO VI,5611203,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA,SAO DIMAS,4751201,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,JARDIM AMERICA,9602502,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,PREPARAÇÃO DE DOCUMENTOS E SERVIÇOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NÃO ESPECIFICADOS ANTERIORMENTE,JARDIM INCONFIDENTES,8219999,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,PROMOÇÃO DE VENDAS,ARCADIA,7319002,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,OUTRAS ATIVIDADES AUXILIARES DOS TRANSPORTES TERRESTRES NÃO ESPECIFICADAS ANTERIORMENTE,SAO SEBASTIAO,5229099,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,SERVIÇOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEÍCULOS AUTOMOTORES,PAULO VI,4520002,CONSELHEIRO LAFAIETE
NOME NÃO INFORMADO,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",BARREIRA,5611203,CONSELHEIRO LAFAIETE
